rel=cannonical	title	parent
http://www.oac.cdlib.org/findaid/ark:/13030/tf4c6004f0	"Baird (Joseph A., Jr.) Collection"	ark:/13030/tf1489p250
http://www.oac.cdlib.org/findaid/ark:/13030/kt996nf6b9	Baird (Joseph) Collection of 19th-century architectural photographs	ark:/13030/kt98703819
http://www.oac.cdlib.org/findaid/ark:/13030/tf7p30069s	"Baird, Lassen, Redding, and the Reading Adobe - Views"	ark:/13030/tf7r29p8s0
http://www.oac.cdlib.org/findaid/ark:/13030/c84m9670	Baird (Thomas) and sons telegram collection	ark:/13030/tf9d5nc0sj
http://www.oac.cdlib.org/findaid/ark:/13030/tf9b69p29v	Baird (William M.) Papers	ark:/13030/tf129008pn
http://www.oac.cdlib.org/findaid/ark:/13030/kt0v19r45g	Baital'skii (Mikhail D.) memoirs	ark:/13030/tf4m3nb8sq
http://www.oac.cdlib.org/findaid/ark:/13030/kt509nc884	Baja California (Paipai) Indian Archaeological and Ethnographic Collections	ark:/13030/tf0h4nb4rc
http://www.oac.cdlib.org/findaid/ark:/13030/c8s46t6x	Bak (Sunny) Photography Collection	ark:/13030/kt2n39q9dc
http://www.oac.cdlib.org/findaid/ark:/13030/kt8489p7h3	Baker (Betty) Papers	ark:/13030/tf129008pn
http://www.oac.cdlib.org/findaid/ark:/13030/kt409nd9nf	Baker (Charles Duane) speeches	ark:/13030/tf4m3nb8sq
http://www.oac.cdlib.org/findaid/ark:/13030/kt200002d5	Baker (Charles T.) Papers	ark:/13030/kt2j49q7f8
http://www.oac.cdlib.org/findaid/ark:/13030/c8rb739q	Baker (Charlotte) Diary Collection	ark:/13030/kt0g50151g
http://www.oac.cdlib.org/findaid/ark:/13030/kt6489s147	Baker (Clifford E) Photographs of Stanford Student Life	ark:/13030/tf458010c5
http://www.oac.cdlib.org/findaid/ark:/13030/kt7x0nf8q8	"Baker (David L.) Files on Political Issues in Orange County, California"	ark:/13030/tf1p3008cx
http://www.oac.cdlib.org/findaid/ark:/13030/kt9199s3bk	"Baker, (David M.) Papers"	ark:/13030/tf8j49p7c9
http://www.oac.cdlib.org/findaid/ark:/13030/kt787034cx	Baker (Elizabeth N.) miscellaneous papers	ark:/13030/tf4m3nb8sq
