rel=cannonical	title
http://www.oac.cdlib.org/findaid/ark:/13030/tf9x0nb73d	Veith (Ilza) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt867nb2t9	Vâelez (Edin) Papers and Videos
http://www.oac.cdlib.org/findaid/ark:/13030/kt8n39q77p	Velez-Ibanez (Carlos G) Sterilization Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt6489r0tn	Venable (Evelyn) Scrapbook Collection
http://www.oac.cdlib.org/findaid/ark:/13030/c8vq31nk	Venegas Family Papers
http://www.oac.cdlib.org/findaid/ark:/13030/tf0c6000kw	Veneman (John G.) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/c8rr20hd	Venereal Disease Program Scrapbook
http://www.oac.cdlib.org/findaid/ark:/13030/c8k9392n	Venezuela. 2013 presidential election : campaign ephemera and newspapers
http://www.oac.cdlib.org/findaid/ark:/13030/tf7m3nb25f	Venezuelan Subject Collection
http://www.oac.cdlib.org/findaid/ark:/13030/c8m046fx	"Venezuelan vistas : Spanish American life, and some notes on a year in Caracas, the capital city of Venezuela"
http://www.oac.cdlib.org/findaid/ark:/13030/c8jw8g25	"Venice, Murano, Padova, and Pisa photograph album of churches and palaces"
http://www.oac.cdlib.org/findaid/ark:/13030/c87s7p9k	"Venn, Henry: Collection"
http://www.oac.cdlib.org/findaid/ark:/13030/c8wm1fcg	"Ventura County Cultural Heritage Board records, circa 1900s"
http://www.oac.cdlib.org/findaid/ark:/13030/kt829039fc	Ventura County Junior College District records
http://www.oac.cdlib.org/findaid/ark:/13030/kt8f59p1rs	Venturino da Fabriano (Giovanni Battista) - Del Viaggio Fatto
http://www.oac.cdlib.org/findaid/ark:/13030/tf2w100262	Vera (Angel de) Collection
http://www.oac.cdlib.org/findaid/ark:/13030/kt267nb6wd	"Vera Cruz, Mexico Photograph Collection"
http://www.oac.cdlib.org/findaid/ark:/13030/c8xk8h3b	Verasphere Archive
http://www.oac.cdlib.org/findaid/ark:/13030/tf287005n9	Verbarg (Leonard) Collection
http://www.oac.cdlib.org/findaid/ark:/13030/kt987039dg	Verbouwe (A.) collection
http://www.oac.cdlib.org/findaid/ark:/13030/kt4580134b	Vercoe (Frederic H.) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/tf5r29n7mv	Verdries (Ellen C.) Collection: Blacklisted Teachers in Los Angeles (Interviews/Papers)
http://www.oac.cdlib.org/findaid/ark:/13030/kt0z09p9x1	Veres (Peter) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt596nf2g6	Veresov (D.) typescript
http://www.oac.cdlib.org/findaid/ark:/13030/kt2j49r6nb	Veress (Laura-Louise) processed volume
http://www.oac.cdlib.org/findaid/ark:/13030/tf5s20049v	Vergotti (Jacques) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt8p3036wk	Verheye (Pierre C. T.) papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt200022j4	Verhoogen (John) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt0p3031q3	Verkhovskiy (Solomon S.) collection
http://www.oac.cdlib.org/findaid/ark:/13030/tf2n39n893	Vermilion (William F.) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/tf0h4nb0pd	Vermont (Charlie) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt6199s200	Vernadsky (George) miscellaneous papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt5d5nf0xm	Vernadsky (Nina) memoirs
http://www.oac.cdlib.org/findaid/ark:/13030/tf6t1nb22w	Vernon (Mabel) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt9w10398b	Vernon (Manfred C.) collection
http://www.oac.cdlib.org/findaid/ark:/13030/kt5b69r6kx	Verschoyle (John Stuart) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/hb500009qs	Versteeg (Chester) papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt6b69r981	Verstraete (Maurice) typescript
http://www.oac.cdlib.org/findaid/ark:/13030/kt1q2nd8j2	Vesel (Joseph M.) papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt1b69r6fm	Veselovzorov (Major General) holograph
http://www.oac.cdlib.org/findaid/ark:/13030/kt3f59r799	Vesinne-Larue (Maitre de) speech transcript
http://www.oac.cdlib.org/findaid/ark:/13030/c82b90dc	Vessel plans and chart
http://www.oac.cdlib.org/findaid/ark:/13030/tf058000fh	Vesselago (George M.) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/c85b032n	Vessup (Johannes) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/c8dn46jz	Vestal (David) Photographs
http://www.oac.cdlib.org/findaid/ark:/13030/k6np22cq	"Veterans of the Abraham Lincoln Brigade, Bay Area Post records"
http://www.oac.cdlib.org/findaid/ark:/13030/c8zw1p2q	"Veverka, Gerald J. collection"
http://www.oac.cdlib.org/findaid/ark:/13030/kt32903306	Veysey (Victor V.) papers
http://www.oac.cdlib.org/findaid/ark:/13030/c8tm79fc	Vhay (Anna Louise Murphy) papers
http://www.oac.cdlib.org/findaid/ark:/13030/c8zk5h96	Vhay (David) drawings of the Mr. and Mrs. C. H. Jackson Jr. house
http://www.oac.cdlib.org/findaid/ark:/13030/kt8z09s08p	Viazemskii (Sergei Sergeevich) correspondence
http://www.oac.cdlib.org/findaid/ark:/13030/kt6q2nf6nn	"Vice Chancellor, Academic Affairs Records (University of California, Irvine)"
http://www.oac.cdlib.org/findaid/ark:/13030/kt1w1035vq	"Vice Chancellor, Administrative Affairs Records (University of California, Irvine)"
http://www.oac.cdlib.org/findaid/ark:/13030/kt0x0nd1jp	"Vice Chancellor, Student Affairs Budget Records (University of California, Irvine)"
http://www.oac.cdlib.org/findaid/ark:/13030/c8h41psh	"Vice Chancellor, Student Affairs Records (University of California, Irvine)"
http://www.oac.cdlib.org/findaid/ark:/13030/c8639p3f	"Vice Chancellor Student Affairs, Research and Evaluation Director Records (University of California, Irvine)"
http://www.oac.cdlib.org/findaid/ark:/13030/kt1b69r75z	Vickrey (Irene S.) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt3b69r79n	Victor (George) mimeograph
http://www.oac.cdlib.org/findaid/ark:/13030/c84f1s3g	Victoria (passenger vessel) logbook
http://www.oac.cdlib.org/findaid/ark:/13030/kt6t1nc079	Victorian Newspapers Collection
http://www.oac.cdlib.org/findaid/ark:/13030/ft9d5nb4bp	Victorian politicians : photograph album
http://www.oac.cdlib.org/findaid/ark:/13030/kt6z09s13z	Video Kontakt video tapes
http://www.oac.cdlib.org/findaid/ark:/13030/kt4p3034wc	Video Studio Gdansk video tapes
http://www.oac.cdlib.org/findaid/ark:/13030/kt6k4019k6	Vidor (King) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt909nc9gz	Viehoever (Arno) Collection
http://www.oac.cdlib.org/findaid/ark:/13030/ft387003dd	Vienna : Theater Posters
http://www.oac.cdlib.org/findaid/ark:/13030/kt5489r96c	Viereck (George Sylvester) miscellaneous papers
http://www.oac.cdlib.org/findaid/ark:/13030/hb4r29p36v	Vietnam: Journey of the Heart
http://www.oac.cdlib.org/findaid/ark:/13030/kt2r29r8hj	Vietnam Refugees Photograph Album
http://www.oac.cdlib.org/findaid/ark:/13030/hb4f59p2dh	"Vietnam Veterans Against the War/Winter Soldier Organization, California Nevada Regional records"
http://www.oac.cdlib.org/findaid/ark:/13030/kt4t1nd2bn	Vietnam Veterans Memorial Commission Records
http://www.oac.cdlib.org/findaid/ark:/13030/kt2489r5bk	Vietnam War Protest Ephemera.
http://www.oac.cdlib.org/findaid/ark:/13030/kt0r29q77v	Vietnamese American Arts and Letters Association Collection
http://www.oac.cdlib.org/findaid/ark:/13030/kt6b69s21g	"Vietnamese American Coalition Records (University of California, Irvine)"
http://www.oac.cdlib.org/findaid/ark:/13030/tf6j49n8d7	Vietnamese Conflict Resource Collection
http://www.oac.cdlib.org/findaid/ark:/13030/kt5m3nd3rb	"Vietnamese Student Association at the University of California, Irvine Records"
http://www.oac.cdlib.org/findaid/ark:/13030/tf500003sx	Vietnamese Subject Collection
