count	level1	level2	onlineItems
1	""	East Asian Library	""
13	""	Feuchtwanger Memorial Library	""
1	""	Greene and Greene Archives	""
72	""	Regional History Collection	onlineItems
150	""	Special Collections	""
47	""	University Archives	onlineItems
305	University of the Pacific	""	onlineItems
1	Upland Public Library	""	onlineItems
4	Visual Communications Archives and Media Resource Library	""	""
2	Wardman Library-Whittier College	""	""
32	West Valley College Library	""	onlineItems
1	Whittier Public Library	""	onlineItems
5	Writers Guild Foundation Archive	""	""
19	Yolo County Archives	""	""
1	Yorba Linda Public Library	""	onlineItems
1	Yuba County Library	""	onlineItems

